hour,battery,curtailment,demand
4678,0.0,0.0,3209.464606
4679,0.0,0.0,3209.464606
4680,0.0,0.0,3209.464606
4681,0.0,0.0,3209.464606
4682,0.0,0.0,3209.464606
4683,0.0,0.0,3209.464606
4684,0.0,0.0,3209.464606
4685,0.0,0.0,3209.464606
4686,0.0,0.0,3209.464606
4687,0.0,0.0,3209.464606
4688,0.0,3161.3140578207936,3209.464606
4689,0.0,5682.679631719659,3209.464606
4690,0.0,8762.2101036572,3209.464606
4691,0.0,10494.445994122068,3209.464606
4692,0.0,11437.552201152941,3209.464606
4693,0.0,11668.516986548259,3209.464606
4694,0.0,10898.634368563871,3209.464606
4695,5085.903353949718,4561.671760389527,3209.464606
4696,7068.468344091552,0.0,3209.464606
4697,4316.137984797371,0.0,3209.464606
4698,678.4426148211487,0.0,3209.464606
4699,0.0,0.0,3209.464606
4700,0.0,0.0,3209.464606
4701,0.0,0.0,3209.464606
4702,0.0,0.0,3209.464606
4703,0.0,0.0,3209.464606
4704,0.0,0.0,3209.464606
4705,0.0,0.0,3209.464606
4706,0.0,0.0,3209.464606
4707,0.0,0.0,3209.464606
4708,0.0,0.0,3209.464606
4709,0.0,0.0,3209.464606
4710,0.0,0.0,3209.464606
4711,0.0,0.0,3209.464606
4712,0.0,0.0,3209.464606
4713,0.0,928.654465666074,3209.464606
4714,0.0,1794.772410898508,3209.464606
4715,0.0,2795.61981427821,3209.464606
4716,0.0,3642.490694061034,3209.464606
4717,0.0,4239.149722998933,3209.464606
4718,3098.6602885551156,3334.6548956993183,3209.464606
4719,6356.326922455995,0.0,3209.464606
4720,4874.302882836051,0.0,3209.464606
4721,2641.643290681332,0.0,3209.464606
4722,178.01891313129772,0.0,3209.464606
4723,0.0,0.0,3209.464606
4724,0.0,0.0,3209.464606
4725,0.0,0.0,3209.464606
4726,0.0,0.0,3209.464606
4727,0.0,0.0,3209.464606
4728,0.0,0.0,3209.464606
4729,0.0,0.0,3209.464606
4730,0.0,0.0,3209.464606
4731,0.0,0.0,3209.464606
4732,0.0,0.0,3209.464606
4733,0.0,0.0,3209.464606
4734,0.0,0.0,3209.464606
4735,0.0,0.0,3209.464606
4736,0.0,0.0,3209.464606
4737,1246.1466813077734,163.68442059854192,3209.464606
4738,4123.667330301276,0.0,3209.464606
4739,5663.4325662700485,0.0,3209.464606
4740,4277.643853898153,0.0,3209.464606
4741,1621.5488218520218,0.0,3209.464606
4742,216.513044030517,0.0,3209.464606
4743,0.0,0.0,3209.464606
4744,0.0,0.0,3209.464606
4745,0.0,0.0,3209.464606
4746,0.0,0.0,3209.464606
4747,0.0,0.0,3209.464606
4748,0.0,0.0,3209.464606
4749,0.0,0.0,3209.464606
4750,0.0,0.0,3209.464606
4751,0.0,0.0,3209.464606
4752,0.0,0.0,3209.464606
4753,0.0,0.0,3209.464606
4754,0.0,0.0,3209.464606
4755,0.0,0.0,3209.464606
4756,0.0,0.0,3209.464606
4757,0.0,0.0,3209.464606
4758,0.0,0.0,3209.464606
4759,0.0,0.0,3209.464606
4760,0.0,3199.808188720013,3209.464606
4761,0.0,6183.103333409508,3209.464606
4762,0.0,8435.009991013836,3209.464606
4763,0.0,9840.045768835342,3209.464606
4764,0.0,10282.728274176361,3209.464606
4765,0.0,9474.35152529276,3209.464606
4766,3483.6015975473065,4797.4318698696525,3209.464606
4767,7049.221278641942,0.0,3209.464606
4768,3873.4554794563496,0.0,3209.464606
4769,2295.1961125883586,0.0,3209.464606
4770,447.4778294258331,0.0,3209.464606
4771,0.0,0.0,3209.464606
4772,0.0,0.0,3209.464606
4773,0.0,0.0,3209.464606
4774,0.0,0.0,3209.464606
4775,0.0,0.0,3209.464606
4776,0.0,0.0,3209.464606
4777,0.0,0.0,3209.464606
4778,0.0,0.0,3209.464606
4779,0.0,0.0,3209.464606
4780,0.0,0.0,3209.464606
4781,0.0,0.0,3209.464606
4782,0.0,0.0,3209.464606
4783,0.0,0.0,3209.464606
4784,0.0,3065.078730572745,3209.464606
4785,0.0,6202.350398859118,3209.464606
4786,0.0,8704.468907308372,3209.464606
4787,0.0,10147.998816029094,3209.464606
4788,2829.201372260577,7184.067985621252,3209.464606
4789,7549.644980331794,0.0,3209.464606
4790,3738.7260213090826,0.0,3209.464606
4791,2218.20785078992,0.0,3209.464606
4792,813.1720729684162,0.0,3209.464606
4793,0.0,0.0,3209.464606
4794,0.0,0.0,3209.464606
4795,0.0,0.0,3209.464606
4796,0.0,0.0,3209.464606
4797,0.0,0.0,3209.464606
4798,0.0,0.0,3209.464606
4799,0.0,0.0,3209.464606
4800,0.0,0.0,3209.464606
4801,0.0,0.0,3209.464606
4802,0.0,0.0,3209.464606
4803,0.0,0.0,3209.464606
4804,0.0,0.0,3209.464606
4805,0.0,0.0,3209.464606
4806,0.0,0.0,3209.464606
4807,0.0,0.0,3209.464606
4808,0.0,1448.3252328055346,3209.464606
4809,0.0,3623.243628611424,3209.464606
4810,0.0,5105.267668231369,3209.464606
4811,0.0,6029.126809812631,3209.464606
4812,0.0,5932.8914825645825,3209.464606
4813,3902.2417133539084,1203.0259548774602,3209.464606
4814,5009.03234098332,0.0,3209.464606
4815,3507.761235913766,0.0,3209.464606
4816,2891.8551415262577,0.0,3209.464606
4817,1794.772410898508,0.0,3209.464606
4818,43.289454984030726,0.0,3209.464606
4819,0.0,0.0,3209.464606
4820,0.0,0.0,3209.464606
4821,0.0,0.0,3209.464606
4822,0.0,0.0,3209.464606
4823,0.0,0.0,3209.464606
4824,0.0,0.0,3209.464606
4825,0.0,0.0,3209.464606
4826,0.0,0.0,3209.464606
4827,0.0,0.0,3209.464606
4828,0.0,0.0,3209.464606
4829,0.0,0.0,3209.464606
4830,0.0,0.0,3209.464606
4831,43.289454984030726,0.0,3209.464606
4832,2641.643290681332,0.0,3209.464606
4833,2853.3610106270385,0.0,3209.464606
4834,1833.2665417977273,0.0,3209.464606
4835,1910.2548035961659,0.0,3209.464606
4836,2583.9020943325036,0.0,3209.464606
4837,2179.7137198907017,0.0,3209.464606
4838,408.9836985266138,0.0,3209.464606
4839,0.0,0.0,3209.464606
4840,1121.1251201621703,0.0,3209.464606
4841,0.0,0.0,3209.464606
4842,0.0,0.0,3209.464606
4843,0.0,0.0,3209.464606
4844,0.0,0.0,3209.464606
4845,0.0,0.0,3209.464606
4846,0.0,0.0,3209.464606
4847,0.0,0.0,3209.464606
4848,0.0,0.0,3209.464606
4849,0.0,0.0,3209.464606
4850,0.0,0.0,3209.464606
4851,0.0,0.0,3209.464606
4852,0.0,0.0,3209.464606
4853,0.0,0.0,3209.464606
4854,0.0,0.0,3209.464606
4855,0.0,0.0,3209.464606
4856,0.0,1101.8780547125612,3209.464606
4857,0.0,4104.420264851666,3209.464606
4858,0.0,6952.985951393894,3209.464606
4859,0.0,8415.762925564226,3209.464606
4860,0.0,9301.127936246272,3209.464606
4861,0.0,9647.575114339244,3209.464606
4862,0.0,8454.257056463446,3209.464606
4863,6510.186197220833,616.0233432195482,3209.464606
4864,5759.667893518097,0.0,3209.464606
4865,3834.9613485571303,0.0,3209.464606
4866,1044.1368583637318,0.0,3209.464606
4867,0.0,0.0,3209.464606
4868,0.0,0.0,3209.464606
4869,0.0,0.0,3209.464606
4870,0.0,0.0,3209.464606
4871,0.0,0.0,3209.464606
4872,0.0,0.0,3209.464606
4873,0.0,0.0,3209.464606
4874,0.0,0.0,3209.464606
4875,0.0,0.0,3209.464606
4876,0.0,0.0,3209.464606
4877,0.0,0.0,3209.464606
4878,0.0,0.0,3209.464606
4879,0.0,0.0,3209.464606
4880,0.0,2968.843403324697,3209.464606
4881,0.0,6144.609202510288,3209.464606
4882,0.0,8704.468907308372,3209.464606
4883,0.0,10571.434255920507,3209.464606
4884,0.0,11553.0345938506,3209.464606
4885,0.0,11553.0345938506,3209.464606
4886,0.0,10898.634368563871,3209.464606
4887,4162.044212368453,5312.307312924306,3209.464606
4888,7318.680194936478,0.0,3209.464606
4889,4450.86744294464,0.0,3209.464606
4890,1217.360447410219,0.0,3209.464606
4891,0.0,0.0,3209.464606
4892,0.0,0.0,3209.464606
4893,0.0,0.0,3209.464606
4894,0.0,0.0,3209.464606
4895,0.0,0.0,3209.464606
4896,0.0,0.0,3209.464606
4897,0.0,0.0,3209.464606
4898,0.0,0.0,3209.464606
4899,0.0,0.0,3209.464606
4900,0.0,0.0,3209.464606
4901,0.0,0.0,3209.464606
4902,0.0,0.0,3209.464606
4903,0.0,0.0,3209.464606
4904,0.0,0.0,3209.464606
4905,0.0,3045.8316651231357,3209.464606
4906,0.0,5451.714846324341,3209.464606
4907,0.0,6837.503558696237,3209.464606
4908,4758.703241306354,2406.0004300332466,3209.464606
4909,0.0,8377.268794665008,3209.464606
4910,7992.327485672815,0.0,3209.464606
4911,4104.420264851666,0.0,3209.464606
4912,293.50130582895554,0.0,3209.464606
4913,0.0,0.0,3209.464606
4914,0.0,0.0,3209.464606
4915,0.0,0.0,3209.464606
4916,0.0,0.0,3209.464606
4917,0.0,0.0,3209.464606
4918,0.0,0.0,3209.464606
4919,0.0,0.0,3209.464606
4920,0.0,0.0,3209.464606
4921,0.0,0.0,3209.464606
4922,0.0,0.0,3209.464606
4923,0.0,0.0,3209.464606
4924,0.0,0.0,3209.464606
4925,0.0,0.0,3209.464606
4926,0.0,0.0,3209.464606
4927,0.0,0.0,3209.464606
4928,0.0,1891.0077381465567,3209.464606
4929,0.0,4835.808751936833,3209.464606
4930,0.0,8184.79814016891,3209.464606
4931,0.0,10109.504685129876,3209.464606
4932,0.0,10956.3755649127,3209.464606
4933,0.0,11071.857957610358,3209.464606
4934,5706.604772422037,4537.629370855106,3209.464606
4935,8377.268794665008,0.0,3209.464606
4936,3065.078730572745,0.0,3209.464606
4937,0.0,0.0,3209.464606
4938,0.0,0.0,3209.464606
4939,0.0,0.0,3209.464606
4940,0.0,0.0,3209.464606
4941,0.0,0.0,3209.464606
4942,0.0,0.0,3209.464606
4943,0.0,0.0,3209.464606
4944,0.0,0.0,3209.464606
4945,0.0,0.0,3209.464606
