hour,pv,demand_elec_res,demand_heat_res,demand_elec_inst,demand_heat_inst,demand_elec,demand_heat,,,,,
t40,0.01,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t41,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t42,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t43,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t44,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t45,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t46,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t47,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t48,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t49,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t50,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t51,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t52,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t53,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t54,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t55,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t56,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t57,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t58,0.11,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t59,0.276,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t60,0.358,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t61,0.35,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t62,0.272,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t63,0.128,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t64,0.007,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t65,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t66,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t67,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t68,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t69,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t70,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t71,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t72,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t73,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t74,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t75,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t76,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t77,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t78,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t79,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
